r.id  r.timeCall  r.pickupLocationID r.deliveryLocationID  r.earlyPickupTime  r.latePickupTime  r.earlyDeliveryTime  r.lateDeliveryTime  r.maxTravelDistance  r.maxNbStops
55059 5 96983 9330 5 905 5 2748 5138.790604418698 5
223212 20 24451 66125 20 920 20 2763 5101.521107109857 5
275651 32 45610 103577 32 932 32 2779 5580.93629577107 5
138448 58 3117 4755 58 958 58 2815 6751.73954320796 5
236171 64 65716 8233 64 964 64 2849 10174.49900608945 5
67448 87 14120 18740 87 987 87 2838 6037.677711140716 5
274038 101 91524 62142 101 1001 101 3183 45784.6447673809 5
33354 109 100629 7788 109 1009 109 2845 4205.485749824526 5
290371 113 7919 13231 113 1013 113 2845 3827.165881793299 5
332667 123 3113 117660 123 1023 123 2845 2592.632991301162 5
3918 125 62229 130752 125 1025 125 3193 44156.26451090859 5
79960 146 7259 104299 146 1046 146 2881 4127.442401794198 5
264849 154 123642 100552 154 1054 154 2885 3702.6615613506165 5
19133 161 100521 35753 161 1061 161 2906 5370.970605980088 5
178370 168 100519 11509 168 1068 168 2909 4916.360328138875 5
192831 170 131230 7648 170 1070 170 2889 2247.9090491134693 5
38433 175 127884 7785 175 1075 175 2907 3810.7810781048424 5
174272 177 95426 10363 177 1077 177 2903 3088.2688939206228 5
222463 179 2491 7881 179 1079 179 2924 5300.450344239674 5
13166 196 14793 8930 196 1096 196 2946 5977.238550669322 5
102181 198 53534 57198 198 1098 198 2917 2279.8245126721613 5
37914 204 5422 95437 204 1104 204 2930 3079.14438178396 5
305700 225 14793 130333 225 1125 225 2943 2063.3223052250014 5
329904 239 10169 74061 239 1139 239 3003 7658.115721269604 5
208051 246 10164 10170 246 1146 246 2964 2057.8796253204873 5
184388 253 3373 120233 253 1153 253 2989 4225.658217052605 5
110735 266 130530 8089 266 1166 266 3010 5274.13617185871 5
153617 270 4237 4735 270 1170 270 2994 2800.609348166625 5
226834 304 5422 103607 304 1204 304 3027 2705.8854477597124 5
51130 310 8081 100405 310 1210 310 3059 5846.015036763466 5
23488 324 7973 112165 324 1224 324 3097 8747.34530213942 5
285858 326 96982 103929 326 1226 326 3044 2153.624950423287 5
229281 333 66155 91524 333 1233 333 3102 8267.208910032257 5
94675 341 46111 44482 341 1241 341 3258 26027.508856885324 5
303092 354 4742 14003 354 1254 354 3092 4493.4419091855925 5
125414 363 5844 11819 363 1263 363 3124 7242.516844148475 5
47427 369 100430 4366 369 1269 369 3105 4305.1927920007 5
48134 396 8369 130333 396 1296 396 3148 6196.348515708452 5
118907 399 3117 5580 399 1299 399 3164 7793.6831284486425 5
246169 406 125121 13214 406 1306 406 3136 3557.575216679993 5
233068 410 130823 929 410 1310 410 3129 2235.2488447189803 5
116839 417 4748 4190 417 1317 417 3138 2443.511491329844 5
140582 428 104761 6799 428 1328 428 3174 5457.371731045159 5
141173 437 105023 123624 437 1337 437 3179 4969.342486718558 5
129170 448 112255 7796 448 1348 448 3198 5938.448190093573 5
217741 450 130333 62138 450 1350 450 3525 44998.10486570905 5
274843 459 103761 4243 459 1359 459 3183 2765.583960603263 5
32628 466 3376 69841 466 1366 466 3212 5469.769571253436 5
154160 482 62237 108387 482 1382 482 3264 9778.732969243165 5
108078 487 57197 11894 487 1387 487 3258 8502.473481452267 5
100389 496 130771 2980 496 1396 496 3254 6932.335055446954 5
332861 510 11415 11921 510 1410 510 3279 8278.921692155382 5
126631 516 111701 3123 516 1416 516 3242 3091.611945746907 5
241267 521 96982 10172 521 1421 521 3311 10787.734024502406 5
5169 525 14656 14069 525 1425 525 3267 5004.5734185814645 5
238135 536 7925 6666 536 1436 536 3274 4473.2259367012975 5
131271 538 130810 62119 538 1438 538 3620 45769.274033725684 5
248129 547 9837 8320 547 1447 547 3278 3708.7673486612734 5
221764 554 7849 7962 554 1454 554 3296 5026.478163276568 5
244425 561 104002 5425 561 1461 561 3349 10559.606987246218 5
73554 566 6796 5583 566 1466 566 3320 6444.165835041884 5
46280 574 11303 112053 574 1474 574 3318 5190.703077469091 5
142588 581 17180 884 581 1481 581 3348 7935.182608421347 5
45035 583 85092 10246 583 1483 583 3344 7208.506800830767 5
283767 587 6154 16532 587 1487 587 3319 3762.893311991289 5
186575 612 103790 16235 612 1512 612 3424 13372.860509872342 5
206634 617 8302 4743 617 1517 617 3342 2920.5404810528166 5
97290 631 5198 118841 631 1531 631 3427 11451.102496682097 5
161577 641 12727 65770 641 1541 641 3374 3906.245543625209 5
145693 646 104761 88260 646 1546 646 3389 5051.6622815448845 5
62175 657 18056 103607 657 1557 657 3380 2723.845204615025 5
130557 665 16030 66153 665 1565 665 3424 7015.365980977343 5
284427 680 7648 3120 680 1580 680 3405 2980.1185163792675 5
208052 682 6368 15531 682 1582 682 3414 3745.1634181656214 5
146281 698 130823 9899 698 1598 698 3419 2420.5673752527327 5
71398 716 130823 11435 716 1616 716 3443 3153.722395320171 5
305701 720 95426 125867 720 1620 720 3451 3719.016544107525 5
68616 733 4736 10052 733 1633 733 3467 3967.737233300394 5
53629 739 109460 8306 739 1639 739 3824 46085.04680966515 5
328463 743 6920 4788 743 1643 743 3498 6599.379678904034 5
228684 753 36309 5539 753 1653 753 3489 4260.986219124265 5
127729 769 14793 7100 769 1669 769 3523 6455.087192047609 5
98967 778 109620 98878 778 1678 778 3856 45328.29272015785 5
233069 783 51780 7688 783 1683 783 3568 10097.505350557043 5
17269 788 4724 11507 788 1688 788 3517 3463.0796392768043 5
247494 805 117658 130674 805 1705 805 3539 4003.2465072983264 5
158068 814 128753 37020 814 1714 814 3553 4575.513363599719 5
328983 821 6636 42277 821 1721 821 3585 7598.165871202635 5
29257 829 6378 57126 829 1729 829 3585 6643.640152395231 5
39805 833 16743 62138 833 1733 833 3918 46145.762135208985 5
217118 835 65718 95538 835 1735 835 3566 3621.617965415656 5
67963 848 18506 7829 848 1748 848 3566 2042.8193873230484 5
313112 850 100467 66431 850 1750 850 3571 2476.8363245758555 5
13167 853 11402 3115 853 1753 853 3595 4955.5943818984215 5
277738 865 3138 85486 865 1765 865 3588 2731.6947952471546 5
156221 872 9900 8238 872 1772 872 3629 6802.181577537868 5
153618 879 4742 12092 879 1779 879 3604 2892.261677455622 5
181012 881 12765 6947 881 1781 881 3655 8871.406138815146 5
143243 886 14658 3137 886 1786 886 3644 6905.793648619639 5
69328 892 5471 36304 892 1792 892 3665 8653.765724282131 5
10624 897 62172 7086 897 1797 897 3959 43335.288694516414 5
151008 901 2809 5695 901 1801 901 3645 5243.270273289173 5
106065 906 11752 43455 906 1806 906 3663 6790.6713966050875 5
47428 908 120269 36001 908 1808 908 3673 7685.562270640053 5
312228 917 11300 4248 917 1817 917 3665 5666.563453621193 5
288445 925 4740 11841 925 1825 925 3653 3261.5720401186118 5
188650 929 85477 5425 929 1829 929 3708 9428.407783684113 5
290372 937 123637 7093 937 1837 937 3677 4772.183823718062 5
115106 939 4235 11670 939 1839 939 3746 12740.981385112435 5
169463 948 85440 130090 948 1848 948 3698 5898.349561499406 5
220331 960 11509 13997 960 1860 960 3794 15995.465576938595 5
309677 972 109622 3117 972 1872 972 4034 43433.7246519827 5
141174 975 80610 11398 975 1875 975 3742 7953.103671085666 5
321792 993 85124 2130 993 1893 993 3725 3793.577530433834 5
158678 995 109472 7688 995 1895 995 4102 48779.638654809234 5
