T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxTravelDistanceOneTaxi	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
30	-0.28	0	0	0.28	0.35	0	0	0	0	0	0	0	2	1	0	0	2	1	1	0.35	0.02	3.05	0.02	0.03	0	3.03
60	-1.99	0	0	1.99	2.49	0	0	0	1	0	1	0	5	4	0	0	5	4	5	0.94	0.08	5.81	0.03	0.1	0.02	3.03
90	-5.64	0	0	5.64	7.05	0	0	1	5	0	5	0	8	7	0	0	8	8	10	1.53	2.14	5.93	0.06	0.1	2.06	3.2
120	-10.62	0	0	10.62	13.27	0	0	1	6	0	6	0	13	12	0	0	13	13	14	2.13	2.14	10.54	0.08	0.76	2.06	3.2
150	-14.93	3.66	0	18.59	23.24	0	1	1	9	1	8	1	16	15	0	0	16	16	19	2.62	2.14	10.54	0.08	0.76	2.06	3.2
180	-24.12	3.66	0	27.78	34.72	0	1	3	10	4	9	4	21	17	0	0	21	20	23	3.07	2.69	10.54	0.52	0.76	2.11	3.2
210	-32.07	7.83	0	39.9	49.88	0	2	3	14	4	12	4	28	25	0	0	28	28	31	3.68	2.69	12.48	0.81	0.76	2.11	3.2
240	-38.58	14.69	0	53.27	66.59	0	4	3	19	6	15	6	31	27	0	0	31	30	37	4.17	2.69	12.48	0.81	0.76	2.11	3.2
270	-45.63	18.44	6.55	70.62	88.28	0	5	5	20	8	15	7	34	29	0	0	34	33	41	4.75	2.69	12.48	0.81	0.76	2.11	3.22
300	-57.98	24.22	6.55	88.76	110.95	0	6	6	24	9	18	8	39	33	0	0	39	38	44	5.34	2.69	12.48	0.81	0.98	2.11	3.33
330	-62.64	27.83	15.87	106.34	132.92	0	7	7	26	12	19	10	42	37	0	0	42	42	46	5.88	2.69	12.48	0.81	0.98	2.11	3.33
360	-55.29	31.73	36.88	123.91	154.88	0	8	9	31	15	23	11	46	41	0	0	46	46	48	6.35	2.69	12.48	0.81	0.98	2.11	3.33
390	-33.92	54.32	55.17	143.41	179.26	0	12	12	32	16	20	10	50	44	0	0	50	50	52	6.7	2.69	12.48	0.81	0.98	2.11	3.33
420	-29.51	64.28	69.73	163.51	204.39	0	14	14	36	19	22	12	54	47	0	0	54	54	53	7.2	2.69	12.48	0.81	0.98	2.11	3.33
450	-29.61	64.28	90.69	184.58	230.73	0	14	17	39	23	25	14	59	50	0	0	59	58	56	7.93	2.69	12.48	0.81	0.98	2.17	3.47
480	-36	80.96	90.69	207.66	259.57	0	17	17	40	25	23	16	63	54	0	0	63	62	58	8.66	2.69	12.48	0.81	0.98	2.17	3.47
510	-9.75	101.05	118.67	229.2	286.5	0.28	21	20	43	29	22	17	66	57	0	0	66	65	61	9.43	2.69	12.48	0.81	1.02	2.17	3.47
540	7.02	119.53	137.11	249.34	311.67	0.28	24	22	48	31	24	17	70	62	0	0	70	70	61	10.18	2.69	12.48	0.94	1.02	2.17	3.47
570	5.42	134.82	144.78	273.9	342.38	0.28	27	23	49	33	22	18	73	65	0	0	73	73	66	10.95	2.69	12.48	0.94	1.02	2.17	3.47
600	34.3	145.88	184.94	296.24	370.3	0.28	29	27	53	34	24	15	75	66	0	0	75	74	67	11.72	2.69	12.48	0.94	1.02	2.17	3.47
630	80.61	153.56	243.95	316.62	395.77	0.28	31	33	58	36	27	11	77	69	0	0	77	77	67	12.34	2.69	12.48	0.94	1.02	2.17	3.47
660	105.48	171.59	271.82	337.66	422.07	0.28	34	36	60	40	26	13	80	70	0	0	80	79	68	12.97	2.69	12.48	0.94	1.02	2.17	3.47
690	105.89	183.94	279.79	357.56	446.95	0.28	36	37	63	47	27	19	82	73	0	0	82	82	69	13.54	2.69	12.48	0.94	1.02	2.17	3.47
720	102.35	196.43	286.72	380.53	475.67	0.28	39	39	66	49	27	20	85	74	0	0	85	84	69	14.04	2.71	12.48	0.94	1.02	2.17	3.47
750	153.52	216.33	341.23	403.76	504.7	0.28	43	44	67	51	24	17	87	77	0	0	87	87	70	14.61	2.71	12.48	0.94	1.02	2.17	3.47
780	171.7	224.26	376.8	425.38	531.73	3.97	45	48	71	55	26	17	89	79	0	0	89	89	70	15.15	2.71	12.48	0.94	1.02	2.17	3.47
810	160.95	227.71	384.6	447.39	559.24	3.97	46	49	72	57	26	18	92	82	0	0	92	92	70	15.62	2.71	12.48	0.94	1.02	2.17	3.47
840	187.34	255.93	403.9	468.52	585.65	3.97	50	51	76	63	26	22	95	84	0	0	95	94	71	15.97	2.71	12.48	0.94	1.2	2.17	3.47
870	187.9	261.12	419.48	488.73	610.92	3.97	51	53	79	64	28	22	99	88	0	0	99	99	71	16.23	3.19	12.48	0.94	1.2	2.17	3.47
900	184.73	270.56	428.79	510.42	638.02	4.2	53	54	83	65	30	22	102	90	0	0	102	101	71	16.33	3.19	12.48	0.94	1.2	2.17	3.47
930	196.24	278.08	452.56	530.2	662.75	4.2	55	56	85	69	30	24	104	93	0	0	104	104	73	17.08	3.19	12.48	0.94	1.2	2.17	3.47
960	197.38	288.35	464.11	550.87	688.59	4.2	57	57	87	70	30	24	107	96	0	0	107	107	74	17.69	3.19	12.48	1.04	1.2	2.17	3.47
990	256.48	310.06	522.56	571.65	714.56	4.5	62	63	89	70	27	19	110	98	0	0	110	110	76	17.99	3.19	12.48	1.04	1.2	2.17	3.47
1020	313.21	324.23	585.85	591.17	738.97	5.7	65	68	92	73	27	17	115	103	0	0	115	115	78	18.36	3.19	12.6	1.04	1.2	2.17	3.47
1050	318.95	327.51	607.95	610.81	763.52	5.7	66	69	94	75	28	18	120	107	0	0	120	119	78	19.22	3.5	12.6	1.06	1.2	2.17	3.47
1080	397.53	356.75	676.21	629.72	787.15	5.7	72	74	98	77	26	15	123	110	0	0	123	122	79	20.19	3.5	12.6	1.06	1.2	2.17	3.47
1110	401.82	360.98	700.69	650.81	813.52	9.04	73	76	103	78	30	14	127	115	0	0	127	127	79	20.92	3.5	12.6	1.06	1.2	2.17	3.47
1140	424.04	369.89	736.51	672.91	841.14	9.45	75	78	104	84	29	18	129	117	0	0	129	129	79	21.72	3.5	12.6	1.06	1.2	2.17	3.47
1170	448.31	377.62	775	694.86	868.58	9.45	77	81	109	87	32	18	134	121	0	0	134	133	79	22.54	3.5	12.6	1.06	1.2	2.17	3.47
1200	435.02	387.05	775	717.57	896.97	9.45	79	81	110	89	31	20	138	126	0	0	138	138	80	23.24	3.5	12.6	1.06	1.2	2.17	3.47
1230	459.11	396.3	812.66	740.41	925.51	9.45	81	85	117	89	36	16	142	130	0	0	142	142	82	23.95	3.5	12.6	1.06	1.2	2.17	3.47
1260	488.86	410.05	850.96	762.7	953.37	9.45	84	89	120	91	36	14	147	134	0	0	147	146	83	24.75	3.5	12.6	1.06	1.2	2.17	3.47
1290	510.35	428.98	879.76	787.38	984.23	11.02	88	92	121	94	33	14	150	138	0	0	150	150	84	25.55	3.5	12.6	1.26	1.2	2.17	3.47
1320	508.01	434.18	897.42	812.57	1015.71	11.02	89	93	125	97	36	16	154	142	0	0	154	154	84	26.27	3.5	12.6	1.26	1.2	2.17	3.47
1350	532.1	469.59	910.96	837.42	1046.77	11.02	93	94	129	102	36	20	158	146	0	0	158	158	84	27.05	3.5	12.6	1.41	1.2	2.17	3.47
1380	541.73	485.4	926.18	858.82	1073.53	11.02	96	96	131	107	35	23	161	149	0	0	161	161	84	27.79	3.5	12.6	1.41	1.2	2.17	3.47
1410	532.69	501.4	926.18	883.86	1104.83	11.02	99	96	134	111	35	27	165	153	0	0	165	165	84	28.51	3.5	12.6	1.41	1.2	2.17	3.47
1440	555.07	527.71	946.25	907.87	1134.84	11.02	105	98	137	112	32	26	168	156	0	0	168	168	84	29.25	3.5	12.6	1.41	1.2	2.17	3.47
1470	574.08	543.82	973.3	932.01	1165.02	11.02	108	101	138	115	30	26	172	159	0	0	172	171	84	29.99	3.5	12.6	1.41	1.2	2.17	3.47
1500	590.02	548.21	1011.93	953.54	1191.93	16.58	109	105	143	117	34	24	173	160	0	0	173	172	84	30.74	3.5	12.6	1.41	1.2	2.17	3.47
1530	589.29	552.14	1031.27	977.54	1221.93	16.58	110	107	144	120	34	25	177	164	0	0	177	176	85	31.54	3.5	12.6	1.41	1.2	2.17	3.47
1560	602	557.83	1065.05	1003.63	1254.53	17.25	111	109	146	122	35	25	180	168	0	0	180	180	85	32.42	3.5	12.6	1.41	1.2	2.17	3.47
1590	689.93	564.49	1170.84	1028.14	1285.18	17.25	112	114	147	124	35	22	184	171	0	0	184	183	85	33.12	3.5	12.6	1.41	1.2	2.17	3.47
1620	752.22	588.27	1233.34	1052.14	1315.18	17.25	113	119	150	127	37	20	187	174	0	0	187	186	85	33.89	3.5	12.6	1.43	1.2	2.17	3.47
1650	766.16	597.07	1264.54	1078.19	1347.74	17.25	115	122	151	132	36	22	189	177	0	0	189	189	85	34.59	3.5	12.6	1.43	1.2	2.17	3.47
1680	804.18	609.9	1316.45	1104.92	1381.16	17.25	118	126	152	134	34	20	192	180	0	0	192	192	85	35.23	3.5	12.6	1.43	1.2	2.17	3.47
