T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis
10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
20	-0.19	0	0	0.19	0.24	0	0	0	0	0	0	0	2	0	0	0	1	1	1
30	-0.6	0	0	0.6	0.75	0	0	0	0	0	0	0	3	0	0	0	2	1	2
40	-1.18	0	0	1.18	1.47	0	0	0	0	0	0	0	4	0	0	0	2	2	3
50	-1.79	0	0	1.79	2.23	0	0	0	0	0	0	0	8	0	0	0	4	4	3
60	-2.76	0	0	2.76	3.45	0	0	0	0	0	0	0	9	0	0	0	5	4	5
70	-3.88	0	0	3.88	4.85	0	0	0	0	0	0	0	11	0	0	0	6	5	6
80	-5.32	0	0	5.32	6.65	0	0	0	0	0	0	0	13	0	0	0	7	6	7
90	-6.71	0	0	6.71	8.39	0	0	0	0	0	0	0	16	0	0	0	8	8	8
100	-8.45	0	0	8.45	10.56	0	0	0	0	0	0	0	19	0	0	0	10	9	10
110	-9.97	0	0	9.97	12.46	0	0	0	0	0	0	0	21	0	0	0	11	10	10
120	-11.34	0	0	11.34	14.17	0	0	0	2	2	2	2	22	0	1	3	13	13	10
130	-12.28	0	0	12.28	15.35	0	0	0	3	2	3	2	22	0	1	3	13	13	10
140	-13.19	0	0	13.19	16.49	0	0	0	3	2	3	2	25	0	1	3	15	14	10
150	-14.52	0	0	14.52	18.15	0	0	0	3	3	3	3	28	0	1	3	16	16	12
160	-17	0	0	17	21.25	0	0	0	3	3	3	3	29	0	1	3	17	16	13
170	-19.56	0	0	19.56	24.46	0	0	0	3	3	3	3	30	0	1	5	18	18	14
180	-22.27	0	0	22.27	27.84	0	0	0	3	3	3	3	34	0	2	5	21	20	15
190	-25.35	0	0	25.35	31.69	0	0	0	3	3	3	3	36	0	3	9	24	24	17
200	-28.62	0	0	28.62	35.78	0	0	0	3	3	3	3	37	0	3	9	25	24	19
210	-31.64	0	0	31.64	39.55	0	0	0	6	3	6	3	39	0	4	13	28	28	19
220	-34.63	0	0	34.63	43.28	0	0	0	7	3	7	3	39	0	4	13	28	28	20
230	-33.76	3.66	0	37.42	46.78	0	1	0	7	3	6	3	39	0	4	13	28	28	20
240	-30.2	3.66	6.55	40.41	50.52	0	1	1	8	3	7	2	43	0	5	13	31	30	20
250	-24.88	3.66	14.97	43.51	54.39	0	1	2	9	3	8	1	45	0	5	13	32	31	20
260	-28.03	3.66	14.97	46.66	58.33	0	1	2	10	3	9	1	47	0	5	13	33	32	21
270	-31.27	3.66	14.97	49.9	62.38	0	1	2	10	3	9	1	49	0	5	13	34	33	22
280	-35.4	3.66	14.97	54.03	67.54	0	1	2	11	3	10	1	51	0	5	13	35	34	23
290	-39.6	3.66	14.97	58.23	72.79	0	1	2	11	3	10	1	54	0	5	13	36	36	24
300	-43.47	3.66	14.97	62.11	77.64	0	1	2	11	3	10	1	57	0	7	13	39	38	24
310	-47.23	3.66	14.97	65.87	82.33	0	1	2	12	4	11	2	59	0	7	13	40	39	24
320	-51	3.66	14.97	69.63	87.04	0	1	2	12	4	11	2	60	0	7	13	40	40	25
330	-54.82	3.66	14.97	73.45	91.82	0	1	2	12	5	11	3	64	0	7	13	42	42	25
340	-55.21	7.57	14.97	77.75	97.19	0	2	2	12	5	10	3	65	0	7	13	43	42	29
350	-56.15	11.17	14.97	82.3	102.87	0	3	2	12	5	9	3	68	0	7	13	44	44	29
360	-60.54	11.17	14.97	86.69	108.36	0	3	2	12	5	9	3	72	0	7	13	46	46	29
370	-50.72	11.17	29.54	91.43	114.28	0	3	3	12	5	9	2	73	0	7	13	47	46	30
380	-50.22	15.81	29.54	95.57	119.47	0	4	3	13	6	9	3	74	0	7	15	48	48	30
390	-54.39	15.81	29.54	99.74	124.68	0	4	3	13	6	9	3	78	0	7	15	50	50	31
400	-59.33	15.81	29.54	104.68	130.85	0	4	3	15	6	11	3	80	0	7	15	51	51	32
410	-59.05	20.63	29.54	109.21	136.52	0	5	3	15	6	10	3	83	0	7	15	53	52	32
420	-63.7	20.63	29.54	113.87	142.33	0	5	3	15	6	10	3	84	0	7	17	54	54	33
430	-68.54	20.63	29.54	118.7	148.38	0	5	3	16	7	11	4	86	0	8	19	57	56	33
440	-73.24	20.63	29.54	123.4	154.25	0	5	3	16	9	11	6	89	0	8	19	58	58	34
450	-77.89	20.63	29.54	128.05	160.06	0	5	3	17	9	12	6	90	0	8	19	59	58	34
460	-82.9	20.63	29.54	133.06	166.33	0	5	3	18	9	13	6	92	0	8	19	60	59	35
