T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
30	-0.29	0	0	0.29	0.37	0	0	0	0	0	0	0	3	0	0	0	2	1	1	2.87	3.17	0.03	0.04	2.84	3.15
60	-2.73	0	0	2.73	3.42	0	0	0	0	0	0	0	9	0	0	0	5	4	5	5.28	6.57	0.2	0.15	5.23	3.26
90	-7.26	0	0	7.26	9.07	0	0	0	0	0	0	0	16	0	0	0	8	8	9	6.05	6.87	0.31	0.35	5.63	3.31
120	-13.18	0	0	13.18	16.48	0	0	0	1	0	1	0	26	0	0	0	13	13	12	11.61	11.93	0.31	1.29	11.53	3.31
150	-21.07	0	0	21.07	26.34	0	0	0	2	2	2	2	32	0	0	0	16	16	16	11.61	11.93	0.31	1.29	11.53	3.31
180	-29.3	0	0	29.3	36.62	0	0	0	2	3	2	3	41	0	0	0	21	20	18	11.61	11.93	0.37	1.29	11.53	3.35
210	-41.19	0	0	41.19	51.49	0	0	0	6	3	6	3	56	0	0	0	28	28	26	12.28	13.31	0.37	1.29	12.04	3.35
240	-47.79	0	6.55	54.34	67.93	0	0	1	6	6	6	5	61	0	0	0	31	30	28	12.28	13.31	0.37	1.29	12.04	3.39
270	-53.91	0	14.97	68.88	86.1	0	0	2	8	7	8	5	65	0	0	2	34	33	31	12.28	13.31	0.37	1.29	12.04	3.39
300	-70.72	0	14.97	85.7	107.12	0	0	2	9	8	9	6	73	0	0	4	39	38	33	12.28	13.31	0.41	1.29	12.04	3.39
330	-87.76	0	14.97	102.73	128.41	0	0	2	11	8	11	6	80	0	0	4	42	42	36	12.28	13.31	0.41	1.29	12.04	3.39
360	-105.11	0	14.97	120.09	150.11	0	0	2	13	11	13	9	88	0	0	4	46	46	38	12.28	13.31	0.41	1.29	12.04	3.39
390	-99.15	4.64	35.51	139.3	174.13	0	1	4	14	12	13	8	96	0	0	4	50	50	41	12.28	13.31	1	1.48	12.04	3.39
420	-92.34	4.64	60.34	157.32	196.65	0	1	6	18	13	17	7	101	0	0	7	54	54	43	12.28	13.31	1	1.48	12.04	3.39
450	-96.92	4.64	73.98	175.54	219.43	0	1	8	20	16	19	8	107	0	0	10	59	58	44	12.28	13.31	1	1.48	12.04	3.39
480	-111.08	9.45	73.98	194.52	243.14	0	2	8	20	18	18	10	115	0	0	10	63	62	45	12.28	13.31	1	1.48	12.04	3.39
510	-132.1	9.45	73.98	215.53	269.42	0	2	8	24	19	22	11	121	0	0	10	66	65	48	12.28	13.31	1	1.48	12.04	3.39
540	-93.63	30.83	112.08	236.55	295.68	0	6	11	28	20	22	9	130	0	0	10	70	70	51	12.28	13.31	1	1.48	12.04	3.6
570	-102.18	35	119.48	256.66	320.82	0	7	12	29	21	22	9	136	0	0	10	73	73	52	12.28	13.31	1	1.48	12.04	3.6
600	-94.35	35	148.62	277.97	347.46	0	7	15	33	22	26	7	139	0	0	10	75	74	53	12.28	13.31	1	1.48	12.04	3.6
630	-98.76	44.73	155.29	298.78	373.48	0	9	16	35	23	26	7	144	0	0	10	77	77	55	12.28	13.31	1	1.48	12.04	3.6
660	-87.21	49.16	181.49	317.85	397.32	0	10	18	38	29	28	11	148	0	0	11	80	79	56	12.28	13.31	1	1.48	12.04	3.6
690	-83.18	62.01	193.42	338.62	423.28	0	12	19	40	31	28	12	153	0	0	11	82	82	58	12.28	13.31	1	1.48	12.04	3.6
720	-60.6	65.78	236.87	363.25	454.06	0	13	22	41	32	28	10	156	0	0	13	85	84	59	12.28	13.31	1	1.48	12.04	3.6
750	-70.55	75.47	236.87	382.9	478.62	0	15	22	48	33	33	11	161	0	0	13	87	87	59	12.28	13.31	1	1.48	12.04	3.6
780	-73.62	80.24	252.53	406.39	507.98	0	16	24	52	34	36	10	165	0	0	13	89	89	61	12.28	13.31	1	1.48	12.04	3.6
810	-69.96	84.5	274.16	428.63	535.78	0	17	26	55	36	38	10	171	0	0	13	92	92	62	12.28	13.31	1	1.48	12.04	3.6
840	-62.82	94.62	291.76	449.2	561.5	0	19	28	59	40	40	12	176	0	0	13	95	94	63	12.28	13.31	1	1.52	12.04	3.6
