r.id  r.timeCall  r.pickupLocationID r.deliveryLocationID  r.earlyPickupTime  r.latePickupTime  r.earlyDeliveryTime  r.lateDeliveryTime  r.maxTravelDistance  r.maxNbStops
113781 2816 439 8234 2816 3716 2816 5557 4835.938380221746 5
66260 2820 71244 7961 2820 3720 2820 5681 19307.4019202228 5
179239 2822 8369 16583 2822 3722 2822 5603 9647.143627603136 5
328229 2824 82178 127411 2824 3724 2824 5621 11540.120354941653 5
99037 2826 15673 8326 2826 3726 2826 5585 7001.485720471909 5
191433 2828 10471 4190 2828 3728 2828 5559 3674.1096028781008 5
315875 2830 95436 120324 2830 3730 2830 5582 6158.418423253769 5
132547 2832 44882 62134 2832 3732 2832 5921 46677.509186941075 5
68746 2834 9903 11509 2834 3734 2834 5565 3678.4708276979045 5
2155 2836 35595 69217 2836 3736 2836 5574 4461.059110724117 5
156340 2838 7684 43401 2838 3738 2838 5560 2625.7492034323514 5
330431 2840 4962 65443 2840 3740 2840 5610 8302.150846313974 5
125535 2842 7336 7688 2842 3742 2842 5594 6170.450058398502 5
321406 2844 4917 7099 2844 3744 2844 5629 10093.823888863953 5
106925 2846 4797 4247 2846 3746 2846 5585 4584.081520971318 5
92029 2848 8301 11504 2848 3748 2848 5580 3734.149071211603 5
122642 2850 36541 11924 2850 3750 2850 5667 13940.690301374043 5
30687 2852 2660 7087 2852 3752 2852 5598 5412.59191779758 5
339330 2854 14779 4192 2854 3754 2854 5612 6938.084652051734 5
11233 2856 18675 11304 2856 3756 2856 5578 2633.5330506377795 5
272417 2858 10048 11943 2858 3758 2858 5583 2895.9364744487843 5
24838 2860 8321 7885 2860 3760 2860 5579 2184.3144636291067 5
340684 2862 5425 3370 2862 3762 2862 5620 6947.852320940579 5
324072 2864 10048 17177 2864 3764 2864 5614 5980.512616906987 5
284555 2866 13999 7085 2866 3766 2866 5627 7295.846715456675 5
324736 2868 71378 95434 2868 3768 2868 5619 6066.894597522837 5
235145 2870 975 1436 2870 3770 2870 5713 17112.269465975492 5
134183 2872 2495 3571 2872 3772 2872 5720 17735.290886114097 5
251008 2874 121554 62217 2874 3774 2874 5944 44285.641047325524 5
277851 2876 8328 6370 2876 3776 2876 5601 2939.703218493206 5
220429 2878 8509 35748 2878 3778 2878 5607 3446.397770327418 5
167050 2880 12211 35948 2880 3780 2880 5599 2254.512392743158 5
300394 2882 1400 91486 2882 3782 2882 5611 3434.2305051135572 5
302600 2884 35744 14492 2884 3784 2884 5622 4459.583927082202 5
161695 2886 11419 11765 2886 3786 2886 5624 4481.052479303688 5
221152 2888 7830 41712 2888 3788 2888 5847 31027.56621442856 5
138567 2890 3124 6800 2890 3790 2890 5637 5563.473315551827 5
224275 2892 1454 1486 2892 3792 2892 5641 5870.239820005471 5
329586 2894 52609 56784 2894 3794 2894 5666 8550.817529372081 5
273529 2896 6783 130333 2896 3796 2896 5621 2935.059686456259 5
237570 2898 46438 10058 2898 3798 2898 5674 9107.304941852202 5
132105 2900 129004 3117 2900 3800 2900 5634 4003.7892249238735 5
64742 2908 12086 4685 2908 3808 2908 5639 3631.47099188513 5
129310 2912 11892 7973 2912 3812 2912 5697 10144.181712135793 5
87588 2924 4727 4101 2924 3824 2924 5685 7211.769437024435 5
51999 2929 8303 17288 2929 3829 2929 5696 7986.627692181572 5
103211 2931 7880 5196 2931 3831 2931 5652 2440.800794036659 5
106208 2936 7267 8238 2936 3836 2936 5689 6320.820486062632 5
56603 2941 130090 19573 2941 3841 2941 5958 37982.44383646907 5
193543 2951 8217 7857 2951 3851 2951 5716 7785.985253768135 5
71533 2958 14492 14071 2958 3858 2958 5699 4849.615926655073 5
169622 2960 5582 6081 2960 3860 2960 5749 10649.611965589755 5
137412 2971 100472 96747 2971 3871 2971 5692 2405.4747405003714 5
185229 2977 4742 35964 2977 3877 2977 5776 11815.19995358624 5
93440 2995 16907 10171 2995 3895 2995 5787 10994.233475273706 5
176833 3012 2143 14069 3012 3912 3012 5748 4306.955553744912 5
263842 3014 5782 45309 3014 3914 3014 5817 12350.078958016617 5
95992 3016 43556 87626 3016 3916 3016 5787 8509.646357463387 5
55187 3029 6725 7811 3029 3929 3029 5808 9426.703526193287 5
204023 3048 88752 8061 3048 3948 3048 5826 9260.678891697973 5
158194 3053 130530 125576 3053 3953 3053 5923 20359.320854336278 5
329987 3065 57421 104781 3065 3965 3065 5795 3497.0902914559156 5
305219 3081 5566 7348 3081 3981 3081 5829 5664.4489151218395 5
171189 3091 7085 10474 3091 3991 3091 5839 5710.023090261633 5
297709 3104 14011 8294 3104 4004 3104 5836 3837.194561470974 5
157494 3108 7477 62144 3108 4008 3108 6144 40255.48574313865 5
200557 3124 6081 15531 3124 4024 3124 5871 5582.956959051321 5
210834 3126 2945 4730 3126 4026 3126 5887 7303.314971466078 5
50160 3137 6735 10468 3137 4037 3137 5870 3920.1061457511655 5
192919 3140 10169 39988 3140 4040 3140 5925 10105.48838277086 5
120896 3147 16909 47624 3147 4047 3147 5917 8301.837294008305 5
232403 3155 4241 12980 3155 4055 3155 5903 5667.489613476967 5
53198 3158 3119 70341 3158 4058 3158 5889 3655.0889866195776 5
159158 3160 6725 43451 3160 4060 3160 5896 4246.9565894895 5
19227 3165 10042 85463 3165 4065 3165 5910 5355.235152229121 5
208136 3177 8205 125619 3177 4077 3177 6074 23608.737375252942 5
184505 3185 14658 3123 3185 4085 3185 5907 2542.544451191994 5
37463 3193 3160 8304 3193 4093 3193 5985 11038.734269514456 5
133058 3208 100453 14007 3208 4108 3208 5962 6369.720252630627 5
128459 3217 7737 87646 3217 4117 3217 5968 6009.146665849437 5
178478 3227 4249 11428 3227 4127 3227 5972 5361.180845138055 5
145805 3241 121554 14928 3241 4141 3241 5963 2585.6959641419685 5
262316 3269 3137 112045 3269 4169 3269 6078 13077.933051785074 5
228046 3271 130813 104605 3271 4171 3271 6011 4711.710877657731 5
226954 3288 7648 12200 3288 4188 3288 6096 12918.601578124284 5
170458 3297 18063 8069 3297 4197 3297 6068 8461.61713405085 5
36680 3302 91494 13213 3302 4202 3302 6048 5461.816821731624 5
191434 3304 10352 129817 3304 4204 3304 6030 3032.7445330500987 5
156880 3309 57151 91399 3309 4209 3309 6191 21720.730526885927 5
182242 3312 2976 91487 3312 4212 3312 6058 5493.018940913305 5
74768 3319 3619 100488 3319 4219 3319 6066 5616.036598705337 5
130627 3322 14237 106929 3322 4222 3322 6069 5631.027484301412 5
287933 3327 10249 7886 3327 4227 3327 6065 4519.003283868445 5
86252 3334 3114 116372 3334 4234 3334 6132 11716.186605085271 5
319046 3336 14797 85391 3336 4236 3336 6076 4773.023252561926 5
177306 3344 3616 3123 3344 4244 3344 6075 3632.798498155047 5
18500 3353 4786 8078 3353 4253 3353 6082 3472.1217519794614 5
104775 3360 3117 2653 3360 4260 3360 6102 4955.0577977766325 5
89461 3371 129789 7140 3371 4271 3371 6105 4070.4362738835143 5
150435 3383 3117 17692 3383 4283 3383 6204 14474.30993722528 5
230118 3391 65529 4101 3391 4291 3391 6111 2398.675341006693 5
13289 3400 44282 18061 3400 4300 3400 6122 2539.099356164358 5
123296 3408 11370 12655 3408 4308 3408 6149 4883.880732380145 5
